人民币	人民币 ￥
宇航员男	宇航员男 👨🏻‍🚀
宇航員	宇航員 🧑🏻‍🚀
宇航員女	宇航員女 👩🏻‍🚀
宇航員男	宇航員男 👨🏻‍🚀
守卫	守卫 💂🏻
守卫女	守卫女 💂🏻‍♀️
守卫男	守卫男 💂🏻‍♂️
守衛	守衛 💂🏻
守衛女	守衛女 💂🏻‍♀️
守衛男	守衛男 💂🏻‍♂️
安全帽	安全帽 ⛑️
安哥拉	安哥拉 🇦🇴
安圭拉	安圭拉 🇦🇮
安地卡及巴布达	安地卡及巴布达 🇦🇬
安地卡及巴布達	安地卡及巴布達 🇦🇬
安慰	安慰 🤗
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安提瓜和巴布達	安提瓜和巴布達 🇦🇬
安静	安静 🤫
安靜	安靜 🤫
完了	完了 😔
宏都拉斯	宏都拉斯 🇭🇳
定食	定食 🍱
宝石	宝石 💎 💠
宝贝	宝贝 👶🏻
实验服	实验服 🥼
宠物犬	宠物犬 🐕‍🦺
宠物狗	宠物狗 🐕‍🦺
客气	客气 😎
客氣	客氣 😎
客輪	客輪 🛳️
客轮	客轮 🛳️
宣誓	宣誓 ✊🏻
宫灯	宫灯 🏮
宮燈	宮燈 🏮
害羞	害羞 ☺️ 😚 🙈
家	家 🏠
宽度	宽度 ↔️
宾馆	宾馆 🏨
密克罗尼西亚	密克罗尼西亚 🇫🇲
密克羅尼西亞	密克羅尼西亞 🇫🇲
密码	密码 🔏
密碼	密碼 🔏
密鑰	密鑰 🔐
密钥	密钥 🔐
富士山	富士山 🗻
寒冷	寒冷 🥶
實驗服	實驗服 🥼
寫	寫 ✍🏻️
寫作	寫作 ✍🏻️
寫作業	寫作業 📝
寫信	寫信 ✍🏻️
寫字	寫字 ✍🏻️
寫字樓	寫字樓 🏢
寬度	寬度 ↔️
寮国	寮国 🇱🇦
寮國	寮國 🇱🇦
寵物犬	寵物犬 🐕‍🦺
寵物狗	寵物狗 🐕‍🦺
寶石	寶石 💎 💠
寶貝	寶貝 👶🏻
对上	对上 🆚️
对不对	对不对 😈
对不起	对不起 🙏🏻
对决	对决 🆚️
对比	对比 🆚️
对白	对白 🗯️
对话框	对话框 🗯️
寺庙	寺庙 🛐
寺廟	寺廟 🛐
寺院	寺院 🛐
导入手机	导入手机 📲
导弹	导弹 🚀
导盲杖	导盲杖 🦯
导盲犬	导盲犬 🦮
寿司	寿司 🍣
封口	封口 🤐
封路	封路 ⛔️
射手座	射手座 ♐️
射箭	射箭 🏹
專家	專家 🧑🏻‍🔬
專家女	專家女 👩🏻‍🔬
專家男	專家男 👨🏻‍🔬
對上	對上 🆚️
對不對	對不對 😈
對不起	對不起 🙏🏻
對比	對比 🆚️
對決	對決 🆚️
對白	對白 🗯️
對話框	對話框 🗯️
導入手機	導入手機 📲
導彈	導彈 🚀
導盲杖	導盲杖 🦯
導盲犬	導盲犬 🦮
小三角	小三角 🔺 🔻
小丑	小丑 🤡
小写字母	小写字母 🔡
小包	小包 👝
小区	小区 🏘️
小區	小區 🏘️
小声	小声 🔉 🤫
小学	小学 🏫
小孩	小孩 🧒🏻
小學	小學 🏫
小寫字母	小寫字母 🔡
小岛	小岛 🏝️
小島	小島 🏝️
小巴	小巴 🚐
小強	小強 🪳
小强	小强 🪳
小心儿童	小心儿童 🚸
小心兒童	小心兒童 🚸
小憩	小憩 😑
小推車	小推車 🛒
小推车	小推车 🛒
小提琴	小提琴 🎻
小方块	小方块 ▪️ ▫️
小方塊	小方塊 ▪️ ▫️
小样	小样 😏 😠 😾
小樣	小樣 😏 😠 😾
小气	小气 🙁
小气鬼	小气鬼 🙁
小氣	小氣 🙁
小氣鬼	小氣鬼 🙁
小白兔	小白兔 🐇
小白方	小白方 ▫️
小白鼠	小白鼠 🐁
小票	小票 🧾
小童	小童 🧒🏻
小童厕所	小童厕所 🚼
小童廁所	小童廁所 🚼
小聲	小聲 🔉 🤫
小菱形	小菱形 🔸 🔹
小蛋糕	小蛋糕 🍰
小行星	小行星 💫
小說	小說 📕
小说	小说 📕
小販	小販 👲🏻
小贩	小贩 👲🏻
小轎車	小轎車 🚗
小轿车	小轿车 🚗
小醜	小醜 🤡
小雞	小雞 🐤 🐥
小飛機	小飛機 🛩️
小飞机	小飞机 🛩️
小魚	小魚 🐟
小鱼	小鱼 🐟
小鳥	小鳥 🐦
小鸟	小鸟 🐦
小鸡	小鸡 🐤 🐥
小黑方	小黑方 ▪️
小鼠	小鼠 🐁
少儿不宜	少儿不宜 🔞
少兒不宜	少兒不宜 🔞
少許	少許 🤌🏻
少许	少许 🤌🏻
尚比亚	尚比亚 🇿🇲
尚比亞	尚比亞 🇿🇲
就那样	就那样 😌 😏 😼
就那樣	就那樣 😌 😏 😼
尺	尺 📏
尺子	尺子 📏
尼加拉瓜	尼加拉瓜 🇳🇮
尼日	尼日 🇳🇪
尼日利亚	尼日利亚 🇳🇬
尼日利亞	尼日利亞 🇳🇬
尼日尔	尼日尔 🇳🇪
尼日爾	尼日爾 🇳🇪
尼泊尔	尼泊尔 🇳🇵
尼泊爾	尼泊爾 🇳🇵
屁	屁 😛
屋	屋 🏠
屋企	屋企 🏠
屎	屎 💩
属兔	属兔 🐰
属牛	属牛 🐮
属狗	属狗 🐶
属猪	属猪 🐷
属猫	属猫 🐱
属猴	属猴 🐵
属虎	属虎 🐯
属蛇	属蛇 🐍
属马	属马 🐴
属鸡	属鸡 🐔
属鼠	属鼠 🐭
属龙	属龙 🐲
屬兔	屬兔 🐰
屬牛	屬牛 🐮
屬狗	屬狗 🐶
屬猴	屬猴 🐵
屬虎	屬虎 🐯
屬蛇	屬蛇 🐍
屬豬	屬豬 🐷
屬貓	屬貓 🐱
屬雞	屬雞 🐔
屬馬	屬馬 🐴
屬鼠	屬鼠 🐭
屬龍	屬龍 🐲
山	山 ⛰️
山地单车	山地单车 🚵🏻
山地单车女	山地单车女 🚵🏻‍♀️
山地单车男	山地单车男 🚵🏻‍♂️
山地單車	山地單車 🚵🏻
山地單車女	山地單車女 🚵🏻‍♀️
山地單車男	山地單車男 🚵🏻‍♂️
山地自行車	山地自行車 🚵🏻
山地自行車女	山地自行車女 🚵🏻‍♀️
山地自行車男	山地自行車男 🚵🏻‍♂️
山地自行车	山地自行车 🚵🏻
山地自行车女	山地自行车女 🚵🏻‍♀️
山地自行车男	山地自行车男 🚵🏻‍♂️
山地車	山地車 🚵🏻
山地車女	山地車女 🚵🏻‍♀️
山地車男	山地車男 🚵🏻‍♂️
山地车	山地车 🚵🏻
山地车女	山地车女 🚵🏻‍♀️
山地车男	山地车男 🚵🏻‍♂️
山地騎行	山地騎行 🚵🏻
山地騎行女	山地騎行女 🚵🏻‍♀️
山地騎行男	山地騎行男 🚵🏻‍♂️
山地骑行	山地骑行 🚵🏻
山地骑行女	山地骑行女 🚵🏻‍♀️
山地骑行男	山地骑行男 🚵🏻‍♂️
山岭	山岭 ⛰️
山峰	山峰 ⛰️
山嶺	山嶺 ⛰️
山水	山水 🏞️
山羊	山羊 🐐
山脈	山脈 ⛰️
山脉	山脉 ⛰️
山軌	山軌 🚞
山轨	山轨 🚞
山頂纜車	山頂纜車 🚠
山顶缆车	山顶缆车 🚠
岛	岛 🏝️
岛国	岛国 🗾
岛屿	岛屿 🗾
岡比亞	岡比亞 🇬🇲
岩石	岩石 🪨
島	島 🏝️
島國	島國 🗾
島嶼	島嶼 🗾
崇拜	崇拜 🙇🏻
崇拜女	崇拜女 🙇🏻‍♀️
崇拜男	崇拜男 🙇🏻‍♂️
工人	工人 👷🏻 🧑🏻‍🏭
工人女	工人女 👩🏻‍🏭 👷🏻‍♀️
工人男	工人男 👨🏻‍🏭 👷🏻‍♂️
工具盒	工具盒 🛠️
工具箱	工具箱 🛠️ 🧰
工厂	工厂 🏭
工地	工地 🏗️
工字釘	工字釘 📌
工字钉	工字钉 📌
工廠	工廠 🏭
工程师	工程师 👷🏻 🧑🏻‍💻
工程师女	工程师女 👩🏻‍💻 👷🏻‍♀️
工程师男	工程师男 👨🏻‍💻 👷🏻‍♂️
工程師	工程師 👷🏻 🧑🏻‍💻
工程師女	工程師女 👩🏻‍💻 👷🏻‍♀️
工程師男	工程師男 👨🏻‍💻 👷🏻‍♂️
工薪阶层	工薪阶层 🧑🏻‍💼
工薪阶层女	工薪阶层女 👩🏻‍💼
工薪阶层男	工薪阶层男 👨🏻‍💼
工薪階層	工薪階層 🧑🏻‍💼
工薪階層女	工薪階層女 👩🏻‍💼
工薪階層男	工薪階層男 👨🏻‍💼
左	左 ⬅️
左上	左上 ↖️
左下	左下 ↙️
左勾拳	左勾拳 🤜🏻
左手边	左手边 👈🏻
左手邊	左手邊 👈🏻
左拳	左拳 🤜🏻
左边	左边 👈🏻
左邊	左邊 👈🏻
巧克力	巧克力 🍫
巧克力圈	巧克力圈 🍩
巧克力棒	巧克力棒 🍫
巧克力餅	巧克力餅 🍪
巧克力饼	巧克力饼 🍪
巨石像	巨石像 🗿
巨蟹座	巨蟹座 ♋️
差	差 👎🏻
差人	差人 👮🏻
差人女	差人女 👮🏻‍♀️
差人男	差人男 👮🏻‍♂️
差佬	差佬 👮🏻‍♂️
巴勒斯坦	巴勒斯坦 🇵🇸
巴哈馬	巴哈馬 🇧🇸
巴哈马	巴哈马 🇧🇸
巴基斯坦	巴基斯坦 🇵🇰
巴士	巴士 🚌
巴士站	巴士站 🚏
巴巴多斯	巴巴多斯 🇧🇧
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴布亚纽几内亚	巴布亚纽几内亚 🇵🇬
巴布亞新幾內亞	巴布亞新幾內亞 🇵🇬
巴布亞紐幾內亞	巴布亞紐幾內亞 🇵🇬
巴拉圭	巴拉圭 🇵🇾
巴拉圭茶	巴拉圭茶 🧉
巴拿馬	巴拿馬 🇵🇦
巴拿马	巴拿马 🇵🇦
巴林	巴林 🇧🇭
巴西	巴西 🇧🇷
巴西茶	巴西茶 🧉
巴貝多	巴貝多 🇧🇧
巴贝多	巴贝多 🇧🇧
布丁	布丁 🍮
布吉納法索	布吉納法索 🇧🇫
布吉纳法索	布吉纳法索 🇧🇫
布基納法索	布基納法索 🇧🇫
布基纳法索	布基纳法索 🇧🇫
布隆迪	布隆迪 🇧🇮
帆	帆 ⛵️
帆船	帆船 ⛵️
希腊	希腊 🇬🇷
希臘	希臘 🇬🇷
帐本	帐本 📒
帐篷	帐篷 ⛺️
帐簿	帐簿 📒
帕劳	帕劳 🇵🇼
帕勞	帕勞 🇵🇼
帛琉	帛琉 🇵🇼
带锁行李	带锁行李 🛅
帳本	帳本 📒
帳篷	帳篷 ⛺️
帳簿	帳簿 📒
帶鎖行李	帶鎖行李 🛅
干杯	干杯 🥂
平底鞋	平底鞋 🥿
并肩	并肩 🧑🏻‍🤝‍🧑🏻
幸运	幸运 🍀
幸运草	幸运草 🍀
幸运饼	幸运饼 🥠
幸運	幸運 🍀
幸運草	幸運草 🍀
幸運餅	幸運餅 🥠
幼儿	幼儿 👶🏻
幼兒	幼兒 👶🏻
幼稚	幼稚 😒
幼童	幼童 👶🏻
幼虫	幼虫 🐛
幼蟲	幼蟲 🐛
幽浮	幽浮 🛸
幽灵	幽灵 👻
幽靈	幽靈 👻
幽魂	幽魂 👻
幾內亞	幾內亞 🇬🇳
幾內亞比索	幾內亞比索 🇬🇼
幾內亞比紹	幾內亞比紹 🇬🇼
广播	广播 📢 📻
庆典	庆典 🎊
庆祝	庆祝 🍻 🙌🏻 🥳
床	床 🛏️
库克群岛	库克群岛 🇨🇰
库拉索	库拉索 🇨🇼
底片	底片 🎞️
废了	废了 😖
废纸箩	废纸箩 🚮
废话	废话 🙄
度假	度假 🏖️
座机	座机 ☎️
座椅	座椅 💺
座機	座機 ☎️
庫克群島	庫克群島 🇨🇰
庫拉索	庫拉索 🇨🇼
廁所	廁所 🚽 🚾
廁所泵	廁所泵 🪠
廚子	廚子 🧑🏻‍🍳
廚子女	廚子女 👩🏻‍🍳
廚子男	廚子男 👨🏻‍🍳
廚師	廚師 🧑🏻‍🍳
廚師女	廚師女 👩🏻‍🍳
廚師男	廚師男 👨🏻‍🍳
廢了	廢了 😖
廢紙籮	廢紙籮 🚮
廢話	廢話 🙄
廣播	廣播 📢 📻
建筑工	建筑工 👷🏻
建筑工人	建筑工人 👷🏻
建筑工人女	建筑工人女 👷🏻‍♀️
建筑工人男	建筑工人男 👷🏻‍♂️
建筑工地	建筑工地 🏗️
建筑工女	建筑工女 👷🏻‍♀️
建筑工男	建筑工男 👷🏻‍♂️
建築工	建築工 👷🏻
建築工人	建築工人 👷🏻
建築工人女	建築工人女 👷🏻‍♀️
建築工人男	建築工人男 👷🏻‍♂️
建築工地	建築工地 🏗️
建築工女	建築工女 👷🏻‍♀️
建築工男	建築工男 👷🏻‍♂️
建設中	建設中 🏗️
建设中	建设中 🏗️
开始录像	开始录像 ⏺️
开始录音	开始录音 ⏺️
开心	开心 😁 🥳
开曼	开曼 🇰🇾
开曼群岛	开曼群岛 🇰🇾
开玩笑	开玩笑 😜
开车	开车 🚘
开锁	开锁 🔓
开饭	开饭 😋
异形	异形 👽
弓	弓 🏹
张开	张开 👐🏻
张开双手	张开双手 👐🏻
弯月	弯月 🌛 🌜
張開	張開 👐🏻
張開雙手	張開雙手 👐🏻
弹出	弹出 ⏏️
弹琴	弹琴 🎹
彈出	彈出 ⏏️
彈琴	彈琴 🎹
彎月	彎月 🌛 🌜
当心儿童	当心儿童 🚸
当然	当然 🙄
录像	录像 🎦
录像机	录像机 📹
录影带	录影带 📼
录影机	录影机 📹
录音带	录音带 📼
彗星	彗星 ☄️
彩带	彩带 🎀
彩旗	彩旗 🚩
彩球	彩球 🎊
彩礼	彩礼 💝
彩禮	彩禮 💝
彩虹	彩虹 🌈
彩虹旗	彩虹旗 🏳‍🌈
彩蛋	彩蛋 🎉
影片	影片 🎞️
影相	影相 📸
影院	影院 🎬
律师	律师 🧑🏻‍⚖️
律师女	律师女 👩🏻‍⚖️
律师男	律师男 👨🏻‍⚖️
律師	律師 🧑🏻‍⚖️
律師女	律師女 👩🏻‍⚖️
律師男	律師男 👨🏻‍⚖️
後	後 ⬇️
得	得 🉐️ 👌🏻
得意	得意 😏
循环	循环 🔃 🔄
循环播放	循环播放 🔁
循環	循環 🔃 🔄
循環播放	循環播放 🔁
微生物	微生物 🦠
微笑	微笑 🙂
微風	微風 🍃
微风	微风 🍃
德国	德国 🇩🇪
德國	德國 🇩🇪
德意志	德意志 🇩🇪
心	心 🫀
心之舞	心之舞 💞
心动	心动 💓
心動	心動 💓
心叹号	心叹号 ❣️
心心相印	心心相印 💕
心有灵犀	心有灵犀 💕 💞
心有靈犀	心有靈犀 💕 💞
心歎號	心歎號 ❣️
心烦	心烦 😫
心煩	心煩 😫
心田	心田 💟
心碎	心碎 💔
心脏	心脏 🫀
心臟	心臟 🫀
心跳	心跳 💓
心間	心間 💟
心间	心间 💟
忍者	忍者 🥷🏻
快件	快件 📦
快艇	快艇 🛥️
快进	快进 ⏩ 🔜
快退	快退 ⏪
快递	快递 📦 🚚
快递盒	快递盒 📦
快進	快進 ⏩ 🔜
快遞	快遞 📦 🚚
快遞盒	快遞盒 📦
快餐盒	快餐盒 🥡
念珠	念珠 📿
怀孕	怀孕 🤰🏻
怎么会	怎么会 😢 😿
怎么可能	怎么可能 🤔
怎么样	怎么样 😏
怎麼可能	怎麼可能 🤔
怎麼會	怎麼會 😢 😿
怎麼樣	怎麼樣 😏
怒	怒 😡
思考	思考 😕 🤔
恋爱	恋爱 💑🏻
恋爱中	恋爱中 💑🏻
恐怖	恐怖 😱 🙀
恐龍	恐龍 🦕 🦖
恐龙	恐龙 🦕 🦖
恳求	恳求 🥺
恳请	恳请 🥺
恶心	恶心 🤢 🤮
恶魔	恶魔 😈
悄悄地	悄悄地 🤫
悠悠球	悠悠球 🪀
悬浮	悬浮 🕴🏻
悬浮列车	悬浮列车 🚟
悶著	悶著 🤐
情书	情书 💌
情侣酒店	情侣酒店 🏩
情侶酒店	情侶酒店 🏩
情書	情書 💌
惊喜	惊喜 😃 🤩
惊悚	惊悚 😱 🙀
惊艳	惊艳 🤩
惡魔	惡魔 😈
惨	惨 😦 😫
想不通	想不通 🤔
想吃	想吃 😍 😻
想吐	想吐 🤮
想喫	想喫 😍 😻
想想	想想 😕
想法	想法 💭
想要	想要 😻
意大利	意大利 🇮🇹
意面	意面 🍝
意麵	意麵 🍝
愚鳩	愚鳩 🦤
愚鸠	愚鸠 🦤
愛	愛 ❤️️ 🥰
愛你	愛你 🤟🏻 🥰
愛心	愛心 💗
愛情	愛情 💑🏻
愛情賓館	愛情賓館 🏩
愛意	愛意 💟
愛沙尼亞	愛沙尼亞 🇪🇪
愛爾蘭	愛爾蘭 🇮🇪
感冒	感冒 🤧
感恩節	感恩節 🦃
感恩节	感恩节 🦃
感情	感情 💑🏻
感激不尽	感激不尽 🙏🏻
感激不盡	感激不盡 🙏🏻
感謝	感謝 🙏🏻
感谢	感谢 🙏🏻
慘	慘 😦 😫
慢走	慢走 🚶🏻
慢走女	慢走女 🚶🏻‍♀️
慢走男	慢走男 🚶🏻‍♂️
慶典	慶典 🎊
慶祝	慶祝 🍻 🙌🏻 🥳
憋屈	憋屈 🙎🏻
憋屈女	憋屈女 🙎🏻‍♀️
憋屈男	憋屈男 🙎🏻‍♂️
憑條	憑條 🧾
憨	憨 🐷
懇求	懇求 🥺
懇請	懇請 🥺
懷孕	懷孕 🤰🏻
懸浮	懸浮 🕴🏻
懸浮列車	懸浮列車 🚟
戀愛	戀愛 💑🏻
戀愛中	戀愛中 💑🏻
戆居	戆居 🐷
戇居	戇居 🐷
戏剧	戏剧 🎭
戏曲	戏曲 🎭
戏法	戏法 🤹🏻
戏法女	戏法女 🤹🏻‍♀️
戏法男	戏法男 🤹🏻‍♂️
戏院	戏院 🎥 🎬
成人	成人 🧑🏻
成双成对	成双成对 👫🏻
成年人	成年人 🧑🏻
成雙成對	成雙成對 👫🏻
我愛你	我愛你 🤟🏻
我操	我操 😧 🤬
我爱你	我爱你 🤟🏻
我的天	我的天 😱 🙀
戒指	戒指 💍
戲劇	戲劇 🎭
戲曲	戲曲 🎭
戲法	戲法 🤹🏻
戲法女	戲法女 🤹🏻‍♀️
戲法男	戲法男 🤹🏻‍♂️
戲院	戲院 🎥 🎬
戴口罩	戴口罩 😷
戶	戶 🪟
户	户 🪟
房子	房子 🏠
所以呢	所以呢 🤷🏻
所以呢女	所以呢女 🤷🏻‍♀️
所以呢男	所以呢男 🤷🏻‍♂️
手	手 👋🏻
手写	手写 ✍🏻️
手套	手套 🧤
手寫	手寫 ✍🏻️
手掌	手掌 ✋🏻
手推車	手推車 🛒
手推车	手推车 🛒
手提包	手提包 👜
手机	手机 📱
手柄	手柄 🕹️
手機	手機 📱
手球	手球 🤾🏻
手球女	手球女 🤾🏻‍♀️
手球男	手球男 🤾🏻‍♂️
手电	手电 🔦
手电筒	手电筒 🔦
手背	手背 🤚🏻
手臂	手臂 💪🏻
手舞足蹈	手舞足蹈 🕺🏻
手表	手表 ⌚️
手錶	手錶 ⌚️
手雷	手雷 💣
手電	手電 🔦
手電筒	手電筒 🔦
手風琴	手風琴 🪗
手风琴	手风琴 🪗
才怪	才怪 😒 🙄
扑克	扑克 🃏
打伞	打伞 ☔️
打你	打你 👊🏻
打傘	打傘 ☔️
打勾	打勾 ✅
打印机	打印机 🖨️
打印機	打印機 🖨️
打叉	打叉 ❎
打哈欠	打哈欠 🥱
打响指	打响指 🤞🏻
打喷嚏	打喷嚏 🤧
打噴嚏	打噴嚏 🤧
打圈	打圈 ➰
打坐	打坐 🧘🏻
打坐女	打坐女 🧘🏻‍♀️
打坐男	打坐男 🧘🏻‍♂️
打开文件夹	打开文件夹 📂
打开档案夹	打开档案夹 📂
打扑克	打扑克 🃏
打招呼	打招呼 🙋🏻
打招呼女	打招呼女 🙋🏻‍♀️
打招呼男	打招呼男 🙋🏻‍♂️
打撲克	打撲克 🃏
打旋	打旋 ➰
打曲棍球	打曲棍球 🏒
打机	打机 🎮
打板球	打板球 🏏
打機	打機 🎮
打死你	打死你 👊🏻
打水战	打水战 🔫
打水戰	打水戰 🔫
打游戏	打游戏 🎮
打牌	打牌 🃏
打球	打球 ⛹🏻
打球女	打球女 ⛹🏻‍♀️
打球男	打球男 ⛹🏻‍♂️
打的	打的 🚖
打篮球	打篮球 ⛹🏻
打篮球女	打篮球女 ⛹🏻‍♀️
打篮球男	打篮球男 ⛹🏻‍♂️
打籃球	打籃球 ⛹🏻
打籃球女	打籃球女 ⛹🏻‍♀️
打籃球男	打籃球男 ⛹🏻‍♂️
打結	打結 ➰
打給我	打給我 🤙🏻
打结	打结 ➰
打给我	打给我 🤙🏻
打草地曲棍球	打草地曲棍球 🏑
打車	打車 🚖
打车	打车 🚖
打遊戲	打遊戲 🎮
打針	打針 💉
打针	打针 💉
打開文件夾	打開文件夾 📂
打開檔案夾	打開檔案夾 📂
打雷	打雷 🌩️
打靶	打靶 🎯
打響指	打響指 🤞🏻
打麻将	打麻将 🀄️
打麻將	打麻將 🀄️
打麻雀	打麻雀 🀄️
打鼔	打鼔 🥁
托克劳	托克劳 🇹🇰
托克勞	托克勞 🇹🇰
托运	托运 🛄
扣在一起	扣在一起 🖇️
扩音器	扩音器 📣
扫帚	扫帚 🧹
扬声器	扬声器 🔈
扯謊	扯謊 🤥
扯谎	扯谎 🤥
扳手	扳手 🔧
找换	找换 💱
找換	找換 💱
找死	找死 😠 😾
技工	技工 🧑🏻‍🔧
技工女	技工女 👩🏻‍🔧
技工男	技工男 👨🏻‍🔧
技师	技师 🧑🏻‍🔧
技师女	技师女 👩🏻‍🔧
技师男	技师男 👨🏻‍🔧
技師	技師 🧑🏻‍🔧
技師女	技師女 👩🏻‍🔧
技師男	技師男 👨🏻‍🔧
把戏	把戏 🤹🏻
把戏女	把戏女 🤹🏻‍♀️
把戏男	把戏男 🤹🏻‍♂️
把戲	把戲 🤹🏻
把戲女	把戲女 🤹🏻‍♀️
把戲男	把戲男 🤹🏻‍♂️
抓狂	抓狂 🤯
投票	投票 🗳️
投票箱	投票箱 🗳️
护士	护士 🧑🏻‍⚕️
护士女	护士女 👩🏻‍⚕️
护士服	护士服 🥼
护士男	护士男 👨🏻‍⚕️
护目镜	护目镜 🥽
报纸	报纸 📰
报表	报表 📊
报警	报警 🚔
披萨	披萨 🍕
披薩	披薩 🍕
抱	抱 🫂
抱一抱	抱一抱 🤗
抱抱	抱抱 🤗
抽烟	抽烟 🚬
抽煙	抽煙 🚬
抽菸	抽菸 🚬
拇指	拇指 👍🏻
拉弓	拉弓 🏹
拉拉	拉拉 👭🏻
拉炮	拉炮 🎉
拉脫維亞	拉脫維亞 🇱🇻
拉脱维亚	拉脱维亚 🇱🇻
拍戏	拍戏 🎬
拍戲	拍戲 🎬
拍手	拍手 👏🏻
拍电影	拍电影 🎬
拍電影	拍電影 🎬
拖拉机	拖拉机 🚜
拖拉機	拖拉機 🚜
拖鞋	拖鞋 🩴
招呼	招呼 🙋🏻
招呼女	招呼女 🙋🏻‍♀️
招呼男	招呼男 🙋🏻‍♂️
招手	招手 🙋🏻
招手女	招手女 🙋🏻‍♀️
招手男	招手男 🙋🏻‍♂️
拜托	拜托 🥺
拜拜	拜拜 👋🏻
拜託	拜託 🥺
拥抱	拥抱 🤗 🫂
拳	拳 👊🏻
拳击	拳击 🥊
拳头	拳头 👊🏻
拳套	拳套 🥊
拳擊	拳擊 🥊
拳頭	拳頭 👊🏻
拼图	拼图 🧩
拼圖	拼圖 🧩
挂历	挂历 🗓️
挂镜	挂镜 🪞
指	指 🈯️
指南針	指南針 🧭
指南针	指南针 🧭
指数	指数 💹
指數	指數 💹
指环	指环 💍
指環	指環 💍
按摩	按摩 💆🏻
按摩女	按摩女 💆🏻‍♀️
按摩师	按摩师 💆🏻
按摩师女	按摩师女 💆🏻‍♀️
按摩师男	按摩师男 💆🏻‍♂️
